dorms,banho,vagas,bairro,area,valor
5,7,2,6,288,1990000
2,2,1,14,72,290000
3,4,2,4,180,480000
2,2,2,6,106,318000
5,7,1,6,217,1150000
3,1,2,5,180,730000
3,2,1,14,212,950000
4,5,2,5,194,1100000
5,6,1,6,296,1680000
2,3,1,6,150,1200000
4,3,1,6,210,1450000
4,5,2,6,230,1050000
2,5,1,6,200,1400000
3,3,2,14,280,1950000
3,3,1,6,150,950000
3,2,1,5,130,320000
3,4,2,6,150,1250000
3,1,2,6,273,1500000
4,4,2,6,250,1850000
4,2,4,14,280,1600000
6,7,2,6,560,6250000
4,5,2,6,230,1200000
5,6,2,6,400,4000000
5,7,2,6,388,2400000
4,4,2,6,480,6500000
4,3,2,6,200,930000
3,3,2,6,144,890000
4,5,2,6,250,1500000
4,4,3,6,312,2200000
4,4,2,6,205,845000
4,5,2,6,292,1950000
4,3,1,6,210,1450000
2,2,4,5,85,220000
3,1,2,5,145,380000
3,1,1,14,210,450000
2,5,1,6,200,2100000
4,5,2,6,274,1900000
5,6,2,6,203,4500000
4,4,2,6,170,890000
5,6,2,6,330,3000000
5,6,2,6,341,1350000
2,5,1,14,300,2400000
5,5,2,14,260,1700000
2,1,1,4,67,380000
5,5,1,6,260,1900000
3,3,2,5,180,650000
4,3,2,6,292,1300000
4,4,3,4,230,700000
2,1,1,4,65,159000
3,2,1,14,120,229000
2,1,1,4,65,160000
5,6,2,6,300,2100000
4,4,2,6,200,850000
3,4,1,6,181,1560000
3,4,2,14,174,980000
3,1,2,6,170,955000
5,3,4,5,150,365000
4,4,2,6,263,1990000
4,5,1,6,175,1550000
6,5,2,6,388,2400000
4,2,2,4,140,485000
3,4,2,6,150,1050000
4,5,1,14,250,1300000
4,4,1,5,210,1600000
4,5,2,14,269,1800000
4,4,1,6,270,1500000
3,2,3,14,225,1200000
2,4,1,5,250,850000
4,5,2,6,250,1800000
3,3,1,5,196,590000
3,5,1,6,283,2000000
4,5,1,6,300,1900000
3,4,1,6,150,850000
2,1,1,14,70,250000
2,5,2,14,210,2900000
3,3,1,6,222,2000000
3,1,1,9,200,485000
5,6,3,6,310,1800000
4,5,1,6,205,1630000
3,1,0,14,183,750000
3,3,1,6,230,860000
3,2,1,6,212,988000
4,5,1,6,254,1800000
3,2,3,1,135,189000
3,2,2,5,180,420000
2,2,1,5,110,430000
3,5,2,6,365,3200000
4,5,2,6,258,1500000
3,2,2,6,150,750000
4,5,2,6,340,2500000
3,2,1,11,125,290000
4,3,4,6,180,650000
3,4,2,6,273,1500000
4,5,2,6,300,2300000
4,5,2,6,220,1250000
3,3,2,5,180,650000
4,5,1,6,250,2048000
4,4,1,1,200,590000
3,1,2,14,200,790000
5,7,2,6,352,1800000
4,4,3,14,200,780000
7,4,1,5,230,550000
3,4,1,6,185,1500000
3,3,2,6,190,890000
2,3,2,6,150,1800000
5,6,1,6,300,1700000
3,4,2,6,170,1250000
4,5,3,6,182,850000
4,2,1,5,163,900000
3,3,1,14,150,890000
3,4,1,14,185,1350000
2,2,1,14,72,290000
4,5,2,6,240,1500000
4,2,4,5,144,380000
3,3,1,6,185,1590000
3,2,4,14,340,988000
4,5,1,6,242,1500000
3,3,2,5,210,950000
3,2,0,3,86,275000
2,4,1,6,210,890000
4,4,4,6,210,1450000
4,5,2,6,296,3000000
2,1,1,14,120,400000
4,2,1,12,357,1550000
